Address,COUNTA of Address,ADM3_EN,ADM2_EN,ADM1_EN
"SHAHRASTI,CHANDPUR",4,Shahrasti,Chandpur,Chittagong
"SHIKOLBAHA, KARNOFULI, CTG",4,Bagha,Rajshahi,Rajshahi
"SOLIMPUR,JAFARABAD,SIT AKUNDA,CTG",4,Sitakunda,Chittagong,Chittagong
"SONAGAZI, FENI",4,Sonagazi,Feni,Chittagong
"SUBARNACHAR,CHARJABB AR,NOAKHALI",4,Subarnachar,Noakhali,Chittagong
"SUBARNACHAR,NOAKHALI",4,Subarnachar,Noakhali,Chittagong
"WEST ELAHABAD,CHANDONAISH, CTG",4,Chandanaish,Chittagong,Chittagong
"ABU TORAB,MIRSARAI,CTG",3,Mirsharai,Chittagong,Chittagong
"AGRABAD,DAUBLEMORING, CTG.",3,Double Mooring,Chittagong,Chittagong
"AKBARSHAH, CTG",3,Unknown,Unknown,Unknown
"AMBAGAN,KHULSHI,CTG",3,Khulshi,Chittagong,Chittagong
"AMILAISH,SATKANIA,CTG",3,Satkania,Chittagong,Chittagong
"ANOWARA ,CTG.",3,Anowara,Chittagong,Chittagong
"ANOWARA, CTG.",3,Anowara,Chittagong,Chittagong
"ASHUGONJ,B-BARIA",3,Unknown,Unknown,Unknown
"B-PARA,CUMILLA",3,Unknown,Unknown,Unknown
BAGERHAT,3,Bagerhat Sadar,Bagerhat,Khulna
"BAHADDARHAT,CHANDGAO ,CTG",3,Chandgaon,Chittagong,Chittagong
"BAIZID,CTG.",3,Unknown,Unknown,Unknown
BANDAR. CTG,3,Bandar,Narayanganj,Dhaka
"BANDARTILA,CTG",3,Bandar,Narayanganj,Dhaka
"BAUFAL,PATUAKHALI",3,Patuakhali Sadar,Patuakhali,Barisal
"BAURIA,DOJANAGAR,SAND WIP,CTG",3,Sandwip,Chittagong,Chittagong
"BAURIYA,SANDWIP,CTG",3,Sandwip,Chittagong,Chittagong
"BEGUMGANJ, NOAKHALI",3,Begumganj,Noakhali,Chittagong
"BHUJPUR,FATIKCHARI,CTG",3,Fatikchhari,Chittagong,Chittagong
"BINAJURI,RAOZAN,CTG",3,Juri,Maulvibazar,Sylhet
"BISWA COLONY,AKBAR SHAH,CTG",3,Shah Ali,Dhaka,Dhaka
"BOROPUL,HALISAHAR,CTG.",3,Halishahar,Chittagong,Chittagong
CHAGOLNAYA. FENI,3,Feni Sadar,Feni,Chittagong
CHAKARIA COX'S BAZAR,3,Chakaria,Cox's Bazar,Chittagong
"CHAKARIA, COX'S BAZAR.",3,Chakaria,Cox's Bazar,Chittagong
CHAKARIA. COX'S BAZAR.,3,Chakaria,Cox's Bazar,Chittagong
"CHANGAON,CTG",3,Chandgaon,Chittagong,Chittagong
"CHARKAKRA,COMPANIGON J,NOAKHALI",3,Companiganj,Noakhali,Chittagong
"CHATARPAIYA,SENBAG,NO AKHALI",3,Senbagh,Noakhali,Chittagong
"CHIKDAIR,RAWZAN,CTG.",3,Raozan,Chittagong,Chittagong
"CHOKARIA,COXS BAZAR",3,Chakaria,Cox's Bazar,Chittagong
"CHOTO KUMIRA, SITAKUNDA, CTG",3,Sitakunda,Chittagong,Chittagong
"CHOWKBAZAR,CTG",3,Unknown,Unknown,Unknown
"CHUNOTI,LOHAGARA,CTG",3,Lohagara,Chittagong,Chittagong
"COMPANIGONJ,NOAKHALI",3,Companiganj,Noakhali,Chittagong
"DAGANBHUIYAN,FENI",3,Daganbhuiyan,Feni,Chittagong
DAUDKANDI CUMILLA,3,Daudkandi,Comilla,Chittagong
"DAUDKANDI,CUMILLA",3,Daudkandi,Comilla,Chittagong
"DEBIDWAR,CUMILLA",3,Debidwar,Comilla,Chittagong
DEVIDDAR CUMILLA,3,Unknown,Unknown,Unknown
"DEVIDWAR, CUMILLA",3,Debidwar,Comilla,Chittagong
DHAKA,3,Unknown,Unknown,Unknown
"DURGAPUR,MIRSARAI,CTG",3,Durgapur,Netrakona,Mymensingh
"E.P.Z, CTG.",3,Sher-e-bangla Nagar,Dhaka,Dhaka
E.P.Z. CTG,3,Sher-e-bangla Nagar,Dhaka,Dhaka
"EAST GUZARA,RAOZAN,CTG",3,Raozan,Chittagong,Chittagong
"EAST LALANAGAR,SITAKUNDA,C TG",3,Sitakunda,Chittagong,Chittagong
"EID GAH, HALISHAHAR, CTG",3,Halishahar,Chittagong,Chittagong
EIDGHAH COX'S BAZAR,3,Cox's Bazar Sadar,Cox's Bazar,Chittagong
"FAKIRHAT,SITAKUNDA,CTG",3,Fakirhat,Bagerhat,Khulna
"FARIDGONJ,CHANDPUR",3,Faridganj,Chandpur,Chittagong
"FATIKCHARI, CTG.",3,Fatikchhari,Chittagong,Chittagong
FOTIKCHORI. CTG,3,Unknown,Unknown,Unknown
"FOUZDERHAT,SITAKUNDA, CTG",3,Sitakunda,Chittagong,Chittagong
FULGAZI FENI,3,Fulgazi,Feni,Chittagong
